"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
GSAT-10,GSAT-10,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,83,35777,35795,0.000213493,0.06,1436.07,3400,1493,,28-09-2012,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2012-051B,38779
GSAT-11,GSAT-11,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,74,35775,35798,0.000272793,0.12,1436.09,5854,,,04-12-2018,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2018-100B,43824
GSAT-12,GSAT-12,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,82.94,35761,35811,0.000593035,0.09,1436.1,1410,559,1430,15-07-2011,8,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C17,2011-034A,37746
GSAT-14,GSAT-14,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,74,35763,35810,0.000557447,0.23,1436.1,1982,,,05-01-2014,12,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV,2014-001A,39498
GSAT-15,GSAT-15,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,93.5,35782,35805,0.000272748,0.1,1436.1,3164,,,10-01-2015,12,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2015-065A,41028
GSAT-16,GSAT-16,Inda,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,55,35776,35798,0.000260929,0.18,1436.1,3181,,,06-12-2014,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5 ECA,2014-078A,40332
GSAT-17,GSAT-17,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,93.5,35757,35817,0.000711626,0,1436.1,3477,,,28-06-2017,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2017-040B,42815
GSAT-18,GSAT-18,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,74,35775,35812,0.000438768,0,1436.1,3404,,,05-10-2016,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2016-060A,41793
GSAT-19E,GSAT-19E,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,82.5,35777,35795,0.000213493,0,1436.1,3136,,,03-06-2017,10,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV MK.3,2017-031A,42747
GSAT-29,GSAT-29,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,55,37782,37807,0.000283033,0.1,1436.1,3400,,,14-11-2018,10,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV MK.3,2018-089A,43698
GSAT-30,GSAT-30,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,83,35794,35844,0.000592572,0.12,1437.7,3357,,,16-01-2020,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2020-005A,45026
GSAT-31,GSAT-31,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,48,35774,35799,0.000296514,0.1,1436.1,2536,,4700,05-02-2019,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2019-007B,44035
GSAT-6 (Insat 4-E),GSAT-6,NR,India,Indian Space Research Organization (ISRO),Government/Commercial,Communications,,GEO,,83,35775,35775,0,0,1436.1,2110,980,3100,27-08-2015,12,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV,2015-041A,40880
GSAT-8,GSAT-8,India,India,Indian Space Research Organization (ISRO),Government,Communications/Navigation,,GEO,,55,35782,35796,0.000166038,0.09,1436.23,3093,1426,6250,20-05-2011,12,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2011-022A,37605
HySIS (Hyperspectral Imaging Satellite),HySIS,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Hyperspectral Imaging,LEO,Sun-Synchronous,0,647,648,7.13E-05,98,95,380,,,29-11-2018,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2018-096A,43719
INS-1A (ISRO Nano Satellite),INS-1A,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,496,508,0.000873108,97.5,94.6,8.4,,,15-02-2017,,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV XL,2017-008B,41949
INS-1B (ISRO Nano Satellite),INS-1B,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,496,508,0.000873108,97.5,94.6,8,,,15-02-2017,,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV XL,2017-008G,41954
INS-1C (ISRO Nano Satellite),INS-1C,NR,India,Indian Space Research Organization (ISRO),Government,Technology Development,,LEO,Sun-Synchronous,0,495,508,0.000945936,97.5,94.6,5,,,11-01-2018,0.5,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2018-004F,43116
INSAT 3D (Indian National Satellite),INSAT 3D,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Meteorology,GEO,,82,35782,35791,0.000106745,0.24,1436.09,2090,,,25-07-2013,,ISRO Satellite Center,India,Guiana Space Center,Ariane 5 ECA,2013-038B,39216
INSAT 3DR (Indian National Satellite),INSAT 3DR,NR,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Meteorology,GEO,,74,35722,35851,0.001530013,0.03,1436.1,2200,,,08-09-2016,10,ISRO Satellite Center,India,Satish Dhawan Space Centre,GSLV Mk.2,2016-054A,41752
INSAT 4B (Indian National Satellite),INSAT 4B,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,111.2,35760,35811,0.000604903,0.04,1436.08,3028,1335,,11-03-2007,,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5 ECA,2007-007A,30793
INSAT 4CR (Indian National Satellite),INSAT 4CR,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,73.97,37782,37791,0.00010191,0.03,1436.11,2130,,3000,02-09-2007,12,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV F04,2007-037A,32050
IRNSS-1A (Indian Regional Navigation Satellite System),IRNSS-1A,India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,55,35712,35872,0.001897443,27.1,1436,1425,614,1660,01-07-2013,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2013-034A,39199
IRNSS-1B (Indian Regional Navigation Satellite System),IRNSS-1B,India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,55,35695,35880,0.002194153,30.97,1436.14,1432,615,1660,04-04-2014,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2014-017A,39635
IRNSS-1C (Indian Regional Navigation Satellite System),IRNSS-1C,NR,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,83,35690,35871,0.002147068,4.96,1435.8,1425,598,1660,15-10-2014,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2014-061A,40269
